J0530-7008,05 30 40,-70 07 30,0.72,7.2E+20,0,0,0,325,0.0903,1.18E+17,3.83,0.18,0.02,0.03,1.30E-03,3.89E+05,388.53,1.22E+11,3.86E+03,3.858
J0531-7100,05 31 56,-71 00 19,2.55,2.55E+21,2.52,0.66,6.426E+21,180,0.0500,6.54E+16,2.12,0.52,0.05,0.04,2.20E-03,6.60E+05,660.38,3.96E+10,1.26E+03,1.257
J0532-6732,05 32 30,-67 31 33,2.48,2.48E+21,0,0,0,285,0.0792,1.04E+17,3.36,0.53,0.29,0.11,2.22E-03,6.67E+05,666.70,6.22E+10,1.97E+03,1.972
J0533-7202,05 33 46,-72 02 59,0.57,5.7E+20,0,0,0,205,0.0569,7.45E+16,2.42,0.31,0.06,0.09,1.70E-03,5.10E+05,509.88,5.85E+10,1.85E+03,1.854
J0534-6955,05 34 02,-69 55 03,6.33,6.33E+21,0,0,0,135,0.0375,4.91E+16,1.59,0.31,0.03,0.02,1.70E-03,5.10E+05,509.88,3.85E+10,1.22E+03,1.221
J0534-7033,05 34 18,-70 33 26,1.55,1.55E+21,7.97,2.11,1.23535E+22,186,0.0517,6.76E+16,2.19,0.78,0.01,0.01,2.70E-03,8.09E+05,808.80,3.34E+10,1.06E+03,1.061
J0535-6916,05 35 28,-69 16 11,27.39,2.739E+22,3.1,0.7,8.4909E+22,1.62,0.0005,5.89E+14,0.02,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0535-6602,05 35 44,-66 02 14,185.68,1.8568E+23,2.96,0.76,5.49613E+23,84,0.0233,3.05E+16,0.99,0.52,0.01,0.01,2.20E-03,6.60E+05,660.38,1.85E+10,5.87E+02,0.587
J0535-6918,05 35 46,-69 18 02,0.4,4E+20,0,0,0,105,0.0292,3.82E+16,1.24,0.31,0.05,0.03,1.70E-03,5.10E+05,509.88,3.00E+10,9.50E+02,0.950
J0536-6735,05 36 03,-67 34 36,3.84,3.84E+21,0,0,0,310,0.0861,1.13E+17,3.65,0.56,0.04,0.03,2.28E-03,6.85E+05,685.31,6.58E+10,2.09E+03,2.086
